T;V;P;PI;
297.36;192.422;107.029;108.5675039;
297.36;192.101;107.029;108.7489197;
297.36;191.94;107.029;108.8401387;
297.36;191.779;107.568;108.9315109;
297.711;191.619;108.107;109.0224677;
298.062;191.458;108.107;109.1141463;
298.062;191.297;108.107;109.2059793;
298.062;191.137;108.107;109.2973952;
298.412;191.137;108.107;109.2973952;
298.412;190.976;108.107;109.3895371;
298.062;190.815;108.107;109.4818344;
298.412;190.815;108.107;109.4818344;
298.763;190.494;108.646;109.6663214;
298.763;190.333;108.646;109.7590866;
298.763;190.173;108.646;109.8514312;
299.114;190.012;108.646;109.94451;
299.465;189.852;108.646;110.037167;
299.465;189.691;108.646;110.1305609;
299.465;189.53;109.185;110.2241135;
299.465;189.37;109.185;110.3172426;
299.465;189.209;109.723;110.4111127;
299.465;189.048;109.723;110.5051428;
299.816;188.727;109.723;110.6930976;
299.816;188.566;109.723;110.7876087;
300.166;188.566;110.262;110.7876087;
300.166;188.245;110.262;110.9765265;
300.517;187.924;110.801;111.1660896;
300.517;187.763;110.801;111.2614106;
300.868;187.602;110.801;111.3568951;
300.868;187.281;110.801;111.547761;
300.868;187.12;110.801;111.6437379;
301.219;186.96;110.801;111.7392824;
301.219;186.799;110.801;111.8355892;
301.569;186.638;111.34;111.9320622;
301.569;186.478;111.34;112.0281011;
302.271;186.478;111.34;112.0281011;
301.569;186.317;111.34;112.1249066;
302.271;186.156;111.879;112.2218797;
302.271;185.996;111.879;112.3184167;
302.271;185.835;111.879;112.4157249;
302.271;185.675;111.879;112.5125958;
302.271;185.675;112.417;112.5125958;
302.271;185.353;112.417;112.7080556;
302.271;185.193;112.417;112.8054313;
302.622;185.032;112.956;112.9035855;
302.622;184.871;112.956;113.0019107;
302.622;184.711;112.956;113.099795;
302.973;184.389;112.956;113.2973021;
302.973;184.068;113.495;113.4948836;
303.323;183.907;113.495;113.5942418;
302.973;183.747;113.495;113.6931554;
303.674;183.586;113.495;113.7928613;
303.674;183.425;114.034;113.8927422;
303.674;183.265;114.034;113.9921765;
303.674;183.104;114.034;114.0924078;
304.025;183.104;114.034;114.0924078;
304.025;183.104;114.573;114.0924078;
304.025;182.783;114.034;114.2927747;
304.025;182.622;114.573;114.3935354;
304.376;182.461;114.573;114.4944741;
304.376;182.301;114.573;114.5949623;
304.376;182.14;115.112;114.6962569;
304.376;182.14;114.573;114.6962569;
304.376;181.819;115.112;114.8987522;
304.726;181.819;115.112;114.8987522;
305.077;181.498;115.112;115.1019638;
305.077;181.337;115.112;115.2041571;
305.077;181.176;115.112;115.3065319;
305.077;181.016;115.65;115.4084514;
305.077;180.855;115.65;115.5111898;
305.077;180.694;115.65;115.6141113;
305.077;180.534;116.189;115.7165754;
305.428;180.534;116.189;115.7165754;
305.077;180.212;116.728;115.923336;
305.428;180.212;116.189;115.923336;
305.428;180.052;116.728;116.0263492;
305.428;179.891;116.728;116.1301912;
305.428;179.73;116.728;116.2342193;
305.779;179.57;116.728;116.337786;
305.779;179.248;116.728;116.5467745;
305.779;179.409;117.267;116.4421865;
305.779;179.248;117.267;116.5467745;
305.779;178.927;117.267;116.7558626;
305.779;178.606;117.267;116.9657023;
306.13;178.606;117.267;116.9657023;
305.779;178.445;117.267;117.0712333;
306.13;178.284;118.344;117.1769549;
306.48;178.284;117.806;117.1769549;
306.13;178.124;117.806;117.2822092;
306.13;177.963;117.806;117.3883123;
306.48;177.963;118.344;117.3883123;
306.48;177.642;118.344;117.6004336;
306.48;177.481;118.344;117.7071136;
306.48;177.321;118.344;117.8133229;
306.48;177.16;118.883;117.9203896;
306.48;176.999;118.344;118.0276512;
306.48;176.999;118.883;118.0276512;
306.831;176.678;118.883;118.2420914;
306.48;176.678;118.883;118.2420914;
306.831;176.517;119.422;118.3499393;
306.831;176.357;118.883;118.4573123;
306.48;176.357;119.422;118.4573123;
306.831;176.357;119.422;118.4573123;
306.831;176.196;119.422;118.5655533;
306.831;176.035;119.422;118.6739923;
306.831;175.875;119.422;118.7819544;
307.182;175.875;119.422;118.7819544;
307.182;175.714;119.422;118.8907897;
306.831;175.714;119.961;118.8907897;
307.182;175.393;119.961;119.1083808;
307.182;175.393;120.5;119.1083808;
307.883;175.071;120.5;119.3274513;
307.883;174.911;120.5;119.4366062;
307.182;174.75;120.5;119.5466451;
307.883;174.589;120.5;119.6568869;
307.883;174.429;121.038;119.7666456;
307.883;174.107;121.038;119.9881465;
307.883;173.947;121.577;120.0985141;
307.883;173.786;121.577;120.2097766;
307.883;173.626;121.577;120.3205524;
307.883;173.465;121.577;120.4322268;
307.883;173.304;121.577;120.5441088;
307.883;173.144;121.577;120.655502;
307.883;172.983;122.116;120.7677993;
307.883;172.822;122.116;120.8803059;
307.883;172.501;121.577;121.1052471;
307.883;172.662;122.116;120.9923216;
307.883;172.34;122.655;121.2183836;
307.883;172.18;122.655;121.331027;
307.883;172.019;122.655;121.4445859;
307.883;171.858;122.655;121.5583577;
307.883;171.698;122.655;121.6716341;
307.883;171.537;123.194;121.7858318;
307.883;171.376;123.194;121.9002441;
307.883;171.216;123.194;122.0141589;
307.883;170.894;123.732;122.2440591;
307.883;171.055;123.194;122.1290008;
307.883;170.894;123.194;122.2440591;
307.883;170.734;123.732;122.3586177;
307.883;170.573;123.732;122.4741092;
307.883;170.412;123.732;122.589819;
307.883;170.252;123.732;122.7050268;
307.883;169.93;124.271;122.9375403;
307.883;169.77;124.271;123.053403;
307.883;169.609;124.81;123.1702105;
307.883;169.449;124.81;123.2865123;
307.883;169.288;124.81;123.403763;
307.883;169.288;125.349;123.403763;
307.883;169.127;124.81;123.5212369;
307.883;169.127;125.349;123.5212369;
307.883;168.967;125.349;123.6382029;
307.883;168.806;125.349;123.7561238;
307.883;168.645;125.349;123.8742698;
307.883;168.485;125.349;123.9919057;
307.883;168.324;125.349;124.1105025;
307.883;168.163;125.888;124.2293265;
307.883;168.003;125.888;124.347638;
307.883;167.842;125.888;124.4669167;
307.883;167.681;125.888;124.5864244;
307.883;167.681;126.427;124.5864244;
307.883;167.36;125.888;124.8253838;
307.883;167.199;126.427;124.9455812;
307.883;167.039;126.427;125.0652616;
307.883;166.878;126.965;125.1859216;
307.883;166.717;126.965;125.3068147;
